BillID,BillIntroducedDate,BillNumber,BillNumberOfPages,BillTitle,BillType,BillURL,DaysUntilRoyalAssent,FirstEventChamber,FirstEventDate,FirstEventId,FirstEventMeetingnumber,LastEventDate,PDFURL,ParliamentNumber,PrimeMinisterName,PrimeMinisterParty,SessionNumber,SponsorGender,SponsorParty,SponsorTitle,StatuteChapter,StatuteYear
768167,2003-03-25T16:23:38,C-28,272.0,"An Act to implement certain provisions of the budget tabled in Parliament on February 18, 2003",House Government Bill,http://parl.ca/DocumentViewer/en/2331381?Language=E,86,HOC,2003-03-25,3831188,77,2003-06-19,http://parl.ca/Content/Bills/372/Government/C-28/c-28_1/c-28_1.pdf,37,Jean Chrétien,Liberal,2,M,Liberal,Minister of Finance,15,2003
10244,2001-06-04T11:08:25,C-28,56.0,"An Act to amend the Parliament of Canada Act, the Members of Parliament Retiring Allowances Act and the Salaries Act",House Government Bill,http://parl.ca/DocumentViewer/en/2330924?Language=E,10,HOC,2001-06-04,3839686,71,2001-06-14,http://parl.ca/Content/Bills/371/Government/C-28/c-28_1/c-28_1.pdf,37,Jean Chrétien,Liberal,1,M,Liberal,Leader of the Government in the House of Commons,20,2001
6476149,2014-03-24T11:46:32,C-29,30.0,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2015",House Government Bill,http://parl.ca/DocumentViewer/en/6479593?Language=E,3,HOC,2014-03-24,8279772,60,2014-03-27,http://parl.ca/Content/Bills/412/Government/C-29/C-29_3/C-29_3.PDF,41,Stephen Harper,Conservative,2,M,Conservative,President of the Treasury Board,4,2014
5298106,2011-12-05T08:39:06,C-29,66.0,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",House Government Bill,http://parl.ca/DocumentViewer/en/5304783?Language=E,10,HOC,2011-12-05,5164246,60,2011-12-15,http://parl.ca/Content/Bills/411/Government/C-29/C-29_3/C-29_3.PDF,41,Stephen Harper,Conservative,1,M,Conservative,President of the Treasury Board,23,2011
3850776,2009-05-04T15:05:55,C-29,16.0,An Act to increase the availability of agricultural loans and to repeal the Farm Improvement Loans Act,House Government Bill,http://parl.ca/DocumentViewer/en/3856864?Language=E,45,HOC,2009-05-04,3834147,50,2009-06-18,http://parl.ca/Content/Bills/402/Government/C-29/C-29_1/C-29_1.PDF,40,Stephen Harper,Conservative,2,M,Conservative,Minister of Agriculture and Agri-Food,15,2009
1516573,2004-12-03T12:08:00,C-29,6.0,An Act to amend the Patent Act,House Government Bill,http://parl.ca/DocumentViewer/en/2334054?Language=E,153,HOC,2004-12-03,3833230,38,2005-05-05,http://parl.ca/Content/Bills/381/Government/C-29/C-29_1/C-29_1.PDF,38,Paul Martin,Liberal,1,M,Liberal,Minister of Industry,18,2005
781690,2003-03-25T00:00:00,C-29,16.0,"An Act for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2003",House Government Bill,http://parl.ca/DocumentViewer/en/2531926?Language=E,2,SEN,2003-03-25,3487346,43,2003-03-27,http://parl.ca/Content/Bills/372/Government/C-29/C-29_3/C-29_3.PDF,37,Jean Chrétien,Liberal,2,F,Liberal,President of the Treasury Board,3,2003
10248,2001-06-12T13:48:01,C-29,,"An Act for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2002",House Government Bill,,2,HOC,2001-06-12,3836325,77,2001-06-14,,37,Jean Chrétien,Liberal,1,F,Liberal,President of the Treasury Board,24,2001
8519336,2016-10-25T10:58:12,C-29,244.0,"A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",House Government Bill,http://parl.ca/DocumentViewer/en/8533330?Language=E,51,HOC,2016-10-25,9186795,97,2016-12-15,http://parl.ca/Content/Bills/421/Government/C-29/C-29_1/C-29_1.PDF,42,Justin Trudeau,Liberal,1,M,Liberal,Minister of Finance,12,2016
6477802,2014-03-26T15:16:56,C-30,10.0,An Act to amend the Canada Grain Act and the Canada Transportation Act and to provide for other measures,House Government Bill,http://parl.ca/DocumentViewer/en/6484900?Language=E,64,HOC,2014-03-26,8279372,62,2014-05-29,http://parl.ca/Content/Bills/412/Government/C-30/C-30_1/C-30_1.PDF,41,Stephen Harper,Conservative,2,M,Conservative,Minister of Agriculture and Agri-Food,8,2014
4562516,2010-05-31T15:14:03,C-30,22.0,An Act to amend the Criminal Code,House Government Bill,http://parl.ca/DocumentViewer/en/4566414?Language=E,296,HOC,2010-05-31,3834597,52,2011-03-23,http://parl.ca/Content/Bills/403/Government/C-30/C-30_1/C-30_1.PDF,40,Stephen Harper,Conservative,3,M,Conservative,Minister of Justice,7,2011
3134198,2007-11-27T10:06:16,C-30,32.0,An Act to establish the Specific Claims Tribunal and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/3141843?Language=E,204,HOC,2007-11-27,3839207,25,2008-06-18,http://parl.ca/Content/Bills/392/Government/C-30/C-30_1/C-30_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Indian Affairs and Northern Development,22,2008
1516581,2004-12-03T12:08:51,C-30,20.0,An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/2334089?Language=E,139,HOC,2004-12-03,3833231,38,2005-04-21,http://parl.ca/Content/Bills/381/Government/C-30/C-30_1/C-30_1.PDF,38,Paul Martin,Liberal,1,M,Liberal,Leader of the Government in the House of Commons,16,2005
1269259,2004-03-31T17:26:20,C-30,122.0,"An Act to implement certain provisions of the budget tabled in Parliament on March 23, 2004",House Government Bill,http://parl.ca/DocumentViewer/en/2331596?Language=E,44,HOC,2004-03-31,3837198,33,2004-05-14,http://parl.ca/Content/Bills/373/Government/C-30/c-30_1/C-30_1.pdf,37,Paul Martin,Liberal,3,M,Liberal,Minister of Finance,22,2004
781726,2003-03-25T00:00:00,C-30,20.0,"An Act for granting to Her Majesty certain sums of money for the public service of Canada for the financial year ending March 31, 2004",House Government Bill,http://parl.ca/DocumentViewer/en/2532639?Language=E,2,SEN,2003-03-25,3487347,43,2003-03-27,http://parl.ca/Content/Bills/372/Government/C-30/C-30_3/C-30_3.PDF,37,Jean Chrétien,Liberal,2,F,Liberal,President of the Treasury Board,4,2003
59277,2001-09-18T11:52:31,C-30,179.0,"An Act to establish a body that provides administrative services to the Federal Court of Appeal, the Federal Court, the Court Martial Appeal Court and the Tax Court of Canada, to amend the Federal Court Act, the Tax Court of Canada Act and the Judges Act, and to make related and consequential amendments to other Acts",House Government Bill,http://parl.ca/DocumentViewer/en/2330930?Language=E,190,HOC,2001-09-18,3836334,80,2002-03-27,http://parl.ca/Content/Bills/371/Government/C-30/c-30_1/c-30_1.pdf,37,Jean Chrétien,Liberal,1,F,Liberal,Minister of Justice,8,2002
8549249,2016-10-31T15:16:15,C-30,140.0,An Act to implement the Comprehensive Economic and Trade Agreement between Canada and the European Union and its Member States and to provide for certain other measures,House Government Bill,http://parl.ca/DocumentViewer/en/8557849?Language=E,197,HOC,2016-10-31,9206291,101,2017-05-16,http://parl.ca/Content/Bills/421/Government/C-30/C-30_1/C-30_1.PDF,42,Justin Trudeau,Liberal,1,M,Liberal,Minister of International Trade,0,0
6483626,2014-03-28T12:08:33,C-31,380.0,"An Act to implement certain provisions of the budget tabled in Parliament on February 11, 2014 and other measures",House Government Bill,http://parl.ca/DocumentViewer/en/6495200?Language=E,83,HOC,2014-03-28,8285763,64,2014-06-19,http://parl.ca/Content/Bills/412/Government/C-31/C-31_1/C-31_1.PDF,41,Stephen Harper,Conservative,2,M,Conservative,Minister of Finance,20,2014
5383493,2012-02-16T10:09:25,C-31,56.0,"An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act",House Government Bill,http://parl.ca/DocumentViewer/en/5391960?Language=E,133,HOC,2012-02-16,6634603,82,2012-06-28,http://parl.ca/Content/Bills/411/Government/C-31/C-31_1/C-31_1.PDF,41,Stephen Harper,Conservative,1,M,Conservative,"Minister of Citizenship, Immigration and Multiculturalism",17,2012
4562551,2010-06-01T10:03:11,C-31,10.0,An Act to amend the Old Age Security Act,House Government Bill,http://parl.ca/DocumentViewer/en/4571960?Language=E,197,HOC,2010-06-01,3841471,53,2010-12-15,http://parl.ca/Content/Bills/403/Government/C-31/C-31_1/C-31_1.PDF,40,Stephen Harper,Conservative,3,F,Conservative,Minister of Human Resources and Skills Development,22,2010
3138582,2007-11-28T15:10:11,C-31,6.0,An Act to amend the Judges Act,House Government Bill,http://parl.ca/DocumentViewer/en/3149324?Language=E,203,HOC,2007-11-28,3841123,26,2008-06-18,http://parl.ca/Content/Bills/392/Government/C-31/C-31_1/C-31_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Justice,26,2008
2413948,2006-10-24T10:05:49,C-31,26.0,An Act to amend the Canada Elections Act and the Public Service Employment Act,House Government Bill,http://parl.ca/DocumentViewer/en/2426492?Language=E,241,HOC,2006-10-24,3831586,68,2007-06-22,http://parl.ca/Content/Bills/391/Government/C-31/C-31_1/C-31_1.PDF,39,Stephen Harper,Conservative,1,M,Conservative,Leader of the Government in the House of Commons and Minister for Democratic Reform,21,2007
821569,2003-04-10T10:05:43,C-31,18.0,An Act to amend the Pension Act and the Royal Canadian Mounted Police Superannuation Act,House Government Bill,http://parl.ca/DocumentViewer/en/2331387?Language=E,70,HOC,2003-04-10,3837112,88,2003-06-19,http://parl.ca/Content/Bills/372/Government/C-31/c-31_1/c-31_1.pdf,37,Jean Chrétien,Liberal,2,M,Liberal,Minister of Veterans Affairs,12,2003
59301,2001-09-20T11:57:37,C-31,21.0,An Act to amend the Export Development Act and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/2330933?Language=E,89,HOC,2001-09-20,3829636,82,2001-12-18,http://parl.ca/Content/Bills/371/Government/C-31/c-31_1/c-31_1.pdf,37,Jean Chrétien,Liberal,1,M,Liberal,Minister for International Trade,33,2001
6503398,2014-04-03T10:05:01,C-32,68.0,An Act to enact the Canadian Victims Bill of Rights and to amend certain Acts,House Government Bill,http://parl.ca/DocumentViewer/en/6510370?Language=E,385,HOC,2014-04-03,8301133,68,2015-04-23,http://parl.ca/Content/Bills/412/Government/C-32/C-32_1/C-32_1.PDF,41,Stephen Harper,Conservative,2,M,Conservative,Minister of Justice and Attorney General of Canada,13,2015
5387766,2012-02-17T12:15:05,C-32,8.0,An Act to amend the Civil Marriage Act,House Government Bill,http://parl.ca/DocumentViewer/en/5395919?Language=E,495,HOC,2012-02-17,6641722,83,2013-06-26,http://parl.ca/Content/Bills/411/Government/C-32/C-32_1/C-32_1.PDF,41,Stephen Harper,Conservative,1,M,Conservative,Minister of Justice,30,2013
3912563,2009-05-26T10:08:44,C-32,16.0,An Act to amend the Tobacco Act,House Government Bill,http://parl.ca/DocumentViewer/en/3917629?Language=E,135,HOC,2009-05-26,3832451,61,2009-10-08,http://parl.ca/Content/Bills/402/Government/C-32/C-32_1/C-32_1.PDF,40,Stephen Harper,Conservative,2,F,Conservative,Minister of Health,27,2009
59304,2001-09-20T12:01:44,C-32,146.0,An Act to implement the Free Trade Agreement between the Government of Canada and the Government of the Republic of Costa Rica,House Government Bill,http://parl.ca/DocumentViewer/en/2330936?Language=E,89,HOC,2001-09-20,3829637,82,2001-12-18,http://parl.ca/Content/Bills/371/Government/C-32/C-32_1/c-32_1.pdf,37,Jean Chrétien,Liberal,1,M,Liberal,Minister for International Trade,28,2001
5442190,2012-03-12T15:10:40,C-33,18.0,An Act to provide for the continuation and resumption of air service operations,House Government Bill,http://parl.ca/DocumentViewer/en/5446070?Language=E,3,HOC,2012-03-12,7523786,94,2012-03-15,http://parl.ca/Content/Bills/411/Government/C-33/C-33_1/C-33_1.PDF,41,Stephen Harper,Conservative,1,F,Conservative,Minister of Labour,2,2012
3935100,2009-06-01T15:06:45,C-33,8.0,An Act to amend the War Veterans Allowance Act,House Government Bill,http://parl.ca/DocumentViewer/en/3939357?Language=E,17,HOC,2009-06-01,3838594,65,2009-06-18,http://parl.ca/Content/Bills/402/Government/C-33/C-33_1/C-33_1.PDF,40,Stephen Harper,Conservative,2,M,Conservative,Minister of Veterans Affairs,20,2009
3159092,2007-12-03T15:12:06,C-33,10.0,"An Act to amend the Canadian Environmental Protection Act, 1999",House Government Bill,http://parl.ca/DocumentViewer/en/3164369?Language=E,206,HOC,2007-12-03,3833915,29,2008-06-26,http://parl.ca/Content/Bills/392/Government/C-33/C-33_1/C-33_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Agriculture and Agri-Food,31,2008
1531696,2004-12-08T15:08:23,C-33,82.0,"A second Act to implement certain provisions of the budget tabled in Parliament on March 23, 2004",House Government Bill,http://parl.ca/DocumentViewer/en/2334099?Language=E,156,HOC,2004-12-08,3838033,41,2005-05-13,http://parl.ca/Content/Bills/381/Government/C-33/C-33_1/C-33_1.PDF,38,Paul Martin,Liberal,1,M,Liberal,Minister of Finance,19,2005
59306,2001-09-20T12:03:07,C-33,109.0,An Act respecting the water resources of Nunavut and the Nunavut Surface Rights Tribunal and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/2330939?Language=E,222,HOC,2001-09-20,3829638,82,2002-04-30,http://parl.ca/Content/Bills/371/Government/C-33/c-33_1/c-33_1.pdf,37,Jean Chrétien,Liberal,1,M,Liberal,Minister of Indian Affairs and Northern Development,10,2002
6527484,2014-04-28T15:18:05,C-34,12.0,An Act to give effect to the Tla'amin Final Agreement and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/6542781?Language=E,52,HOC,2014-04-28,8320447,75,2014-06-19,http://parl.ca/Content/Bills/412/Government/C-34/C-34_3/C-34_3.PDF,41,Stephen Harper,Conservative,2,M,Conservative,Minister of Aboriginal Affairs and Northern Development,11,2014
5457166,2012-03-14T17:04:23,C-34,56.0,"An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",House Government Bill,http://parl.ca/DocumentViewer/en/5462244?Language=E,15,HOC,2012-03-14,6971704,96,2012-03-29,http://parl.ca/Content/Bills/411/Government/C-34/C-34_3/C-34_3.PDF,41,Stephen Harper,Conservative,1,M,Conservative,President of the Treasury Board,3,2012
4588704,2010-06-07T15:05:56,C-34,10.0,An Act to amend the Museums Act and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/4593376?Language=E,22,HOC,2010-06-07,3832573,57,2010-06-29,http://parl.ca/Content/Bills/403/Government/C-34/C-34_1/C-34_1.PDF,40,Stephen Harper,Conservative,3,M,Conservative,Minister of Canadian Heritage and Official Languages,7,2010
3166615,2007-12-06T10:10:11,C-34,16.0,An Act to give effect to the Tsawwassen First Nation Final Agreement and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/3180802?Language=E,203,HOC,2007-12-06,3840547,32,2008-06-26,http://parl.ca/Content/Bills/392/Government/C-34/C-34_1/C-34_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Indian Affairs and Northern Development,32,2008
2515677,2006-11-22T15:11:53,C-34,18.0,An Act to provide for jurisdiction over education on First Nation lands in British Columbia,House Government Bill,http://parl.ca/DocumentViewer/en/2527725?Language=E,20,HOC,2006-11-22,3840480,84,2006-12-12,http://parl.ca/Content/Bills/391/Government/C-34/C-34_1/C-34_1.PDF,39,Stephen Harper,Conservative,1,M,Conservative,Minister of Indian Affairs and Northern Development,10,2006
